REMOVED
[R.] opencolorio                                                          2.4.2
[R.] opencv                                                               4.12.0
[R.] osinfo-db                                                            20251212
[R.] ouch.yazi                                                            0-unstable-2026-03-03
[R.] oxygen-icons                                                         6.1.0
[R.] packagekit-qt                                                        1.1.4
[R.] pangomm                                                              2.46.4, 2.56.1
[R.] parted                                                               3.6
[R.] pavucontrol                                                          6.2
[R.] pay-respects                                                         0.7.12
[R.] perl5.42.0-Authen-SASL                                               2.1900
[R.] perl5.42.0-CGI                                                       4.59
[R.] perl5.42.0-CGI-Fast                                                  2.16
[R.] perl5.42.0-Crypt-URandom                                             0.55
[R.] perl5.42.0-Digest-HMAC                                               1.05
[R.] perl5.42.0-FCGI                                                      0.82
[R.] perl5.42.0-FCGI-ProcManager                                          0.28
[R.] perl5.42.0-HTML-TagCloud                                             0.38
[R.] perl5.42.0-IO-Socket-SSL                                             2.083
[R.] perl5.42.0-Mozilla-CA                                                20230821
[R.] perl5.42.0-Net-SMTP-SSL                                              1.04
[R.] perl5.42.0-Net-SSLeay                                                1.92
[R.] perl5.42.0-TermReadKey                                               2.38
[R.] perl5.42.0-libnet                                                    3.15
[R.] phonon                                                               4.11.1
[R.] piper.yazi                                                           26.1.22-unstable-2026-01-24
[R.] plemoljp-nf                                                          3.0.0
[R.] poppler-data                                                         0.4.12
[R.] poppler-glib                                                         25.10.0
[R.] poppler-qt5                                                          25.10.0
[R.] poppler-utils                                                        25.10.0
[R.] portaudio                                                            190700_20210406
[R.] portmidi                                                             2.0.8
[R.] potrace                                                              1.16
[R.] profile                                                              <none>
[R.] protobuf                                                             32.1
[R.] psmisc                                                               23.7
[R.] psqlodbc                                                             17.00.0007
[R.] pybind11-setup-hook                                                  <none>
[R.] pystring                                                             1.1.4-unstable-2025-10-07
[R.] python3.13-argcomplete                                               3.6.3
[R.] python3.13-attrs                                                     25.4.0
[R.] python3.13-brotli                                                    1.2.0
[R.] python3.13-cffi                                                      2.0.0
[R.] python3.13-colorama                                                  0.4.6
[R.] python3.13-cryptography                                              46.0.5
[R.] python3.13-curl-cffi                                                 0.14.0
[R.] python3.13-dbus-python                                               1.4.0
[R.] python3.13-dnspython                                                 2.8.0
[R.] python3.13-docopt                                                    0.6.2
[R.] python3.13-dotty-dict                                                1.3.1
[R.] python3.13-google-re2                                                1.1.20251105
[R.] python3.13-halo                                                      0.0.31
[R.] python3.13-hid                                                       1.0.9
[R.] python3.13-hjson                                                     3.0.2
[R.] python3.13-iniconfig                                                 2.3.0
[R.] python3.13-installer                                                 0.7.0
[R.] python3.13-jeepney                                                   0.9
[R.] python3.13-jsonpath-ng                                               1.7.0
[R.] python3.13-jsonschema                                                4.26.0
[R.] python3.13-jsonschema-specifications                                 2025.9.1
[R.] python3.13-keyutils                                                  0.6
[R.] python3.13-log-symbols                                               0.0.14
[R.] python3.13-milc                                                      1.9.1
[R.] python3.13-mutagen                                                   1.47.0
[R.] python3.13-pillow                                                    12.1.1
[R.] python3.13-platformdirs                                              4.5.1
[R.] python3.13-pluggy                                                    1.6.0
[R.] python3.13-ply                                                       3.11
[R.] python3.13-pybind11                                                  3.0.1
[R.] python3.13-pycparser                                                 3.00
[R.] python3.13-pycryptodomex                                             3.23.0
[R.] python3.13-pygments                                                  2.19.2
[R.] python3.13-pyqt5                                                     5.15.10
[R.] python3.13-pyqt5-sip                                                 12.17.0
[R.] python3.13-pyserial                                                  3.5
[R.] python3.13-pytest                                                    9.0.2
[R.] python3.13-pyusb                                                     1.3.1
[R.] python3.13-referencing                                               0.37.0
[R.] python3.13-rpds-py                                                   0.30.0
[R.] python3.13-secretstorage                                             3.5.0
[R.] python3.13-sip                                                       6.12.0
[R.] python3.13-spinners                                                  0.0.24
[R.] python3.13-termcolor                                                 3.3.0
[R.] python3.13-types-colorama                                            0.4.15.20250801
[R.] python3.13-websockets                                                16.0
[R.] python3.13-wheel                                                     0.46.1
[R.] python3.13-yt-dlp-ejs                                                0.8.0
[R-] qmk                                                                  1.2.0
[R.] qpdf                                                                 12.3.2-lib
[R.] qqc2-breeze-style                                                    6.6.3
[R.] qtlanguageserver                                                     6.10.2, 6.10.2-dev
[R.] qtpositioning                                                        6.10.2
[R.] qtsensors                                                            6.10.2
[R.] qtserialport                                                         6.10.2
[R.] qtvirtualkeyboard                                                    6.10.2, 6.10.2-dev
[R.] qtwebchannel                                                         5.15.18
[R.] qtx11extras                                                          5.15.18
[R.] quazip                                                               1.5
[R.] re2                                                                  2025-11-05
[R.] restore.yazi                                                         25.5.31-unstable-2026-01-06
[R.] resvg                                                                0.47.0
[R.] rich-preview.yazi                                                    0-unstable-2026-02-11
[R.] ripgrep                                                              15.1.0
[R.] rtaudio                                                              5.2.0
[R-] rtkit                                                                0.14
[R.] rubberband                                                           4.0.0
[R.] samba                                                                4.22.7
[R.] sddm-astronaut                                                       1.0-unstable-2025-01-05
[R.] sddm-autologin.pam                                                   <none>
[R.] sddm-greeter.pam                                                     <none>
[R.] sddm-unwrapped                                                       0.21.0, 0.21.0-man
[R-] sddm-wrapped                                                         <none>
[R-] sddm-wrapped-man                                                     <none>
[R.] sddm.conf                                                            <none>
[R.] sddm.pam                                                             <none>
[R.] secrets.yaml                                                         <none>
[R.] security-wrapper-dbus-daemon-launch-helper-x86_64-unknown-linux-musl <none>
[R.] security-wrapper-gnome-keyring-daemon-x86_64-unknown-linux-musl      <none>
[R.] shaderc                                                              2026.1-lib
[R.] snmp.conf                                                            <none>
[R-] sops                                                                 3.12.2
[R.] sops-install-secrets                                                 0.0.1
[R.] sqlite-connector-odbc                                                0.99991
[R.] ssh-agent.service                                                    <none>
[R.] starship                                                             1.24.2
[R.] starship-config                                                      <none>
[R-] statix                                                               0.5.8
[R.] svox                                                                 0-unstable-2021-05-06
[R.] swaylock.pam                                                         <none>
[R.] swaync.service                                                       <none>
[R.] swayosd                                                              0.3.1
[R.] swayosd.service                                                      <none>
[R.] swh-plugins                                                          0.4.17
[R.] swww                                                                 0.11.2
[R.] syndication                                                          6.24.0
[R.] system-sendmail                                                      1.0
[R.] talloc                                                               2.4.4
[R.] tdb                                                                  1.4.15
[R.] teensy-loader-cli                                                    2.3
[R.] tesseract                                                            5.5.2
[R.] tevent                                                               0.17.1
[R.] texlive-bin                                                          2025
[R.] thin-provisioning-tools                                              1.3.1
[R.] tmux                                                                 3.6a, 3.6a-man
[R.] totem-pl-parser                                                      3.26.6
[R.] uchardet                                                             0.0.8
[R.] udev-check-hook                                                      <none>
[R-] udiskie                                                              2.6.2
[R-] udisks                                                               2.11.1, 2.11.1-man
[R.] udisks2.conf                                                         <none>
[R.] unit-autovt-.service                                                 <none>
[R.] unit-cpufreq.service                                                 <none>
[R.] unit-cups.service                                                    <none>
